pose,acceptance_threshold_m,point_count,orthogonal_accepted_count,orthogonal_accepted_fraction,orthogonal_mean_abs_m,orthogonal_rmse_m,orthogonal_median_m,orthogonal_p95_m,orthogonal_max_m,segment_accepted_count,segment_accepted_fraction,segment_mean_abs_m,segment_rmse_m,segment_median_m,segment_p95_m,segment_max_m,fitted_line_angle_difference_deg,fitted_line_signed_normal_offset_m,fitted_line_absolute_normal_offset_m,lidar_robust_fit_inlier_count,lidar_robust_fit_total_count,lidar_robust_fit_inlier_fraction
pose_01,0.1,55,55,1.0,0.01083067466347417,0.012199352880221394,0.011251208074778972,0.018672931245131398,0.020546496831031026,53,0.9636363636363636,0.026802966042573918,0.038512870234636884,0.015480913785740914,0.08986789340300168,0.12425129908175936,1.9407719883577856,0.010033857654984376,0.010033857654984376,54,55,0.9818181818181818
pose_02,0.1,38,38,1.0,0.004113617940049065,0.00518685062915152,0.002815007836432272,0.009924472251081024,0.010217056218937749,36,0.9473684210526315,0.02069680810431093,0.038465654550075966,0.0036654291780883396,0.09301127563995085,0.1260738851477388,1.508194257923613,-0.0022530404334718426,0.0022530404334718426,36,38,0.9473684210526315
pose_03,0.1,31,31,1.0,0.013453447261822937,0.016120223171411926,0.010283881473821694,0.027552382008810626,0.0337340644740758,29,0.9354838709677419,0.031135990287338825,0.04484952826303653,0.01727168323850451,0.10205312677433505,0.13193888064073547,3.0734819014287966,-0.012725526498369229,0.012725526498369229,31,31,1.0
pose_04,0.1,45,45,1.0,0.01585431392503008,0.016722114107319164,0.015713062154525094,0.02437551371622881,0.02541909469436138,41,0.9111111111111111,0.03634316768883962,0.05041442602074987,0.020914592252388835,0.11894441963878014,0.13769323133109473,0.30951609833633825,0.016060493694638512,0.016060493694638512,44,45,0.9777777777777777
pose_05,0.1,40,40,1.0,0.00992557136441414,0.01165758358651972,0.009423465020550883,0.017694123220311407,0.022363349303860434,38,0.95,0.022722046874746157,0.037609476258225284,0.009672260598211578,0.08725710465864524,0.13179870570744845,0.5858490281144627,-0.009925571364414016,0.009925571364414016,40,40,1.0
pose_06,0.1,35,35,1.0,0.004360978146924243,0.005290449779480509,0.00394552419658948,0.009944826936356562,0.012237621673454567,32,0.9142857142857143,0.02671457974820914,0.04623747814076733,0.007008580671914762,0.11299698129567218,0.14033296884202207,1.0173581647034011,0.0024582011557874334,0.0024582011557874334,35,35,1.0
pose_07,0.1,32,32,1.0,0.02017702647036876,0.021140881702750882,0.01900667287221443,0.027090325791593935,0.04498637513647903,31,0.96875,0.02991278472362443,0.03793330252560594,0.019761519961076286,0.08092574041834742,0.10778991001412638,0.04897589915923548,-0.019376724900494212,0.019376724900494212,31,32,0.96875
overall,0.1,276,276,1.0,0.01115154897364682,0.013535278767423605,0.010277243384999774,0.0247230628350463,0.04498637513647903,260,0.9420289855072463,0.027762323777332665,0.04222023614493772,0.015928765735137962,0.10775493311322559,0.14033296884202207,,,,,,
